Station ID,Name,Category,LatitudeB,LongitudeB,Rating
hub_548,The Arch Noodle House,['Noodles'],43.25738,-79.9180499,3.5
hub_548,Williams Fresh Cafe,"['Breakfast & Brunch', 'Cafes']",43.25738,-79.9180499,2.5
hub_548,Yogurty's Froyo,"['Ice Cream & Frozen Yogurt', 'Desserts']",43.25724978,-79.91808908,3.5
hub_548,Gino's Pizza,['Pizza'],43.25726697,-79.91831474,2.5
hub_548,Quik Chik,"['Fast Food', 'Chicken Shop']",43.25743,-79.91877,1.5
hub_548,Subway,"['Sandwiches', 'Fast Food']",43.25743,-79.91877,2.5
hub_548,Taco Del Mar,"['Mexican', 'Tex-Mex', 'Fast Food']",43.25743,-79.91877,3.5
hub_549,Sakura Tea,['Bubble Tea'],43.25847,-79.90874,3
hub_549,Pho Excellent,"['Vietnamese', 'Thai', 'Noodles']",43.2582044,-79.9108457,5
hub_549,Caribbean Flavah,"['Caribbean', 'Soul Food']",43.25829,-79.91107,3
hub_549,Porcelain Hotpot & Lounge,"['Chinese', 'Bubble Tea', 'Hot Pot']",43.25829833,-79.911011,5
hub_549,Basilique,"['Pizza', 'Salad', 'Sandwiches']",43.2611,-79.90732,3.5
hub_549,TCBY Hamilton,"['Ice Cream & Frozen Yogurt', 'Desserts']",43.2611,-79.90732,4
hub_549,Chung Chun Rice Hot Dog,"['Korean', 'Hot Dogs']",43.26130144,-79.90695808,5
hub_549,OneZo Tapioca,['Bubble Tea'],43.26134456,-79.90691151,4
hub_549,Pita Pit,['Sandwiches'],43.2614265,-79.9075946,5
hub_549,Mr Sub,"['Caterers', 'Sandwiches']",43.2581599,-79.91173,5
hub_550,Lava Pizza & Wings,"['Chicken Wings', 'Pizza']",43.2630097,-79.9006621,2.5
hub_550,Valentino's Restaurant,"['Pizza', 'Italian']",43.2627398,-79.8993743,2.5
hub_550,Phin Coffee Bar,['Coffee & Tea'],43.26262,-79.89786,5
hub_550,Weil's of Westdale Bakery,['Bakeries'],43.2623,-79.9042599,4
hub_550,Dragon Court,['Chinese'],43.26264,-79.90469,2.5
hub_550,Second Cup,['Coffee & Tea'],43.2624094,-79.9049837,4
hub_550,Pizzaiolo,['Pizza'],43.26181385,-79.90512133,4
hub_550,Nannaa,['Persian/Iranian'],43.26236148,-79.90547653,3.5
hub_550,Mikel Coffee,"['Cafes', 'Bakeries']",43.262429,-79.905462,5
hub_550,Delirious Burger,"['Canadian (New)', 'Burgers']",43.26243,-79.90546,4.5
hub_551,Lava Pizza & Wings,"['Chicken Wings', 'Pizza']",43.2630097,-79.9006621,2.5
hub_551,Valentino's Restaurant,"['Pizza', 'Italian']",43.2627398,-79.8993743,2.5
hub_551,Phin Coffee Bar,['Coffee & Tea'],43.26262,-79.89786,5
hub_551,Weil's of Westdale Bakery,['Bakeries'],43.2623,-79.9042599,4
hub_551,Dragon Court,['Chinese'],43.26264,-79.90469,2.5
hub_551,Second Cup,['Coffee & Tea'],43.2624094,-79.9049837,4
hub_551,Hungry Traveler,"['Caribbean', 'Asian Fusion', 'Modern European']",43.2604984,-79.8958809,1.5
hub_551,Mikel Coffee,"['Cafes', 'Bakeries']",43.262429,-79.905462,5
hub_551,Delirious Burger,"['Canadian (New)', 'Burgers']",43.26243,-79.90546,4.5
hub_551,Nannaa,['Persian/Iranian'],43.26236148,-79.90547653,3.5
hub_552,Chedoke Radial Trail,['Hiking'],43.246154,-79.911901,5
hub_552,Chedoke Falls,['Local Flavor'],43.242222,-79.9141979,4.5
hub_552,West End Pub,['Pubs'],43.25308,-79.92149,3
hub_552,Aberdeen Tavern,"['Comfort Food', 'Bars']",43.2512808,-79.8933956,4
hub_552,Gino's Pizza,['Pizza'],43.23365,-79.90982,1
hub_552,Dundurn Market,"['Coffee & Tea', 'Bakeries', 'Fruits & Veggies']",43.25126,-79.89294,3
hub_552,Pho Excellent,"['Vietnamese', 'Thai', 'Noodles']",43.2582044,-79.9108457,5
hub_552,Mr Sub,"['Caterers', 'Sandwiches']",43.2581599,-79.91173,5
hub_552,Caribbean Flavah,"['Caribbean', 'Soul Food']",43.25829,-79.91107,3
hub_552,Sakura Tea,['Bubble Tea'],43.25847,-79.90874,3
hub_553,Papa Johns Pizza,['Pizza'],43.259035,-79.9007475,2
hub_553,Ye Olde Squire - Main Street,"['Pubs', 'British', 'Greek']",43.25895,-79.90118,2.5
hub_553,Masala Corner,"['Indian', 'Himalayan/Nepalese']",43.25925,-79.89987,4.5
hub_553,Pizzaiolo,['Pizza'],43.26181385,-79.90512133,4
hub_553,The Burnt Tongue,"['Soup', 'Sandwiches', 'Salad']",43.26163,-79.90551,4.5
hub_553,Weil's of Westdale Bakery,['Bakeries'],43.2623,-79.9042599,4
hub_553,The Snooty Fox,['Pubs'],43.2617199,-79.90518,3
hub_553,Lava Pizza & Wings,"['Chicken Wings', 'Pizza']",43.2630097,-79.9006621,2.5
hub_553,Dragon Court,['Chinese'],43.26264,-79.90469,2.5
hub_553,Second Cup,['Coffee & Tea'],43.2624094,-79.9049837,4
hub_554,Phin Coffee Bar,['Coffee & Tea'],43.26262,-79.89786,5
hub_554,Hungry Traveler,"['Caribbean', 'Asian Fusion', 'Modern European']",43.2604984,-79.8958809,1.5
hub_554,Vip Restaurant,['Restaurants'],43.25985,-79.89674,2.5
hub_554,Valentino's Restaurant,"['Pizza', 'Italian']",43.2627398,-79.8993743,2.5
hub_554,Lava Pizza & Wings,"['Chicken Wings', 'Pizza']",43.2630097,-79.9006621,2.5
hub_554,Masala Corner,"['Indian', 'Himalayan/Nepalese']",43.25925,-79.89987,4.5
hub_554,Papa Johns Pizza,['Pizza'],43.259035,-79.9007475,2
hub_554,Ye Olde Squire - Main Street,"['Pubs', 'British', 'Greek']",43.25895,-79.90118,2.5
hub_554,McDonald's,"['Fast Food', 'Burgers', 'Coffee & Tea']",43.26026248,-79.89000948,2.5
hub_554,Mr. Dumpling Express,"['Chinese', 'Fast Food']",43.26071746,-79.88966834,2.5
hub_555,Papa Johns Pizza,['Pizza'],43.259035,-79.9007475,2
hub_555,Ye Olde Squire - Main Street,"['Pubs', 'British', 'Greek']",43.25895,-79.90118,2.5
hub_555,Masala Corner,"['Indian', 'Himalayan/Nepalese']",43.25925,-79.89987,4.5
hub_555,Vip Restaurant,['Restaurants'],43.25985,-79.89674,2.5
hub_555,Hungry Traveler,"['Caribbean', 'Asian Fusion', 'Modern European']",43.2604984,-79.8958809,1.5
hub_555,Sakura Tea,['Bubble Tea'],43.25847,-79.90874,3
hub_555,The Burnt Tongue,"['Soup', 'Sandwiches', 'Salad']",43.26163,-79.90551,4.5
hub_555,Pizzaiolo,['Pizza'],43.26181385,-79.90512133,4
hub_555,The Snooty Fox,['Pubs'],43.2617199,-79.90518,3
hub_555,Weil's of Westdale Bakery,['Bakeries'],43.2623,-79.9042599,4
hub_556,Aberdeen Tavern,"['Comfort Food', 'Bars']",43.2512808,-79.8933956,4
hub_556,Dundurn Market,"['Coffee & Tea', 'Bakeries', 'Fruits & Veggies']",43.25126,-79.89294,3
hub_556,Cake & Loaf Bakery,"['Bakeries', 'Vegan', 'Sandwiches']",43.2519312,-79.8921731,4
hub_556,Zarky's Fine Foods On Dundurn,"['Delis', 'Sandwiches', 'Food']",43.25403,-79.89176,4
hub_556,Earth To Table : Bread Bar,"['Pizza', 'Breakfast & Brunch', 'Salad']",43.25284,-79.88702,4
